,0
0,220101000000
1,市辖区
0,220102001001
1,111
2,华阳社区
0,220102001002
1,111
2,恒安社区
0,220102001003
1,111
2,百屹社区
0,220102001000
1,南岭街道办事处
0,220102002001
1,111
2,北安社区
0,220102002002
1,111
2,重庆路北社区
0,220102002004
1,111
2,重庆路南社区
0,220102002005
1,111
2,自强社区
0,220102002006
1,111
2,庆利社区
0,220102002000
1,自强街道办事处
0,220102003001
1,111
2,健康胡同社区
0,220102003002
1,111
2,九圣祠社区
0,220102003003
1,111
2,园东路社区
0,220102003004
1,111
2,西门里社区
0,220102003000
1,民康街道办事处
0,220102004001
1,111
2,通顺社区
0,220102004002
1,111
2,松竹梅社区
0,220102004003
1,111
2,永长社区
0,220102004004
1,111
2,永春社区
0,220102004006
1,111
2,和平社区
0,220102004000
1,新春街道办事处
0,220102005001
1,111
2,光复路南社区
0,220102005002
1,111
2,清真寺社区
0,220102005003
1,111
2,东大社区
0,220102005004
1,111
2,龙兴社区
0,220102005005
1,111
2,东莱南社区
0,220102005006
1,111
2,永宁社区
0,220102005200
1,111
2,东安村委会
0,220102005000
1,长通街道办事处
0,220102006001
1,111
2,长大社区
0,220102006002
1,111
2,财神庙社区
0,220102006003
1,111
2,天利南社区
0,220102006004
1,111
2,全安广场社区
0,220102006005
1,111
2,天乐胡同社区
0,220102006006
1,111
2,塘子胡同社区
0,220102006000
1,全安街道办事处
0,220102007001
1,111
2,岳阳社区
0,220102007002
1,111
2,平阳社区
0,220102007003
1,111
2,电力社区
0,220102007004
1,111
2,师大东电社区
0,220102007005
1,111
2,珲春社区
0,220102007000
1,曙光街道办事处
0,220102008001
1,111
2,南泉社区
0,220102008002
1,111
2,职工新村社区
0,220102008003
1,111
2,自由大路社区
0,220102008004
1,111
2,吉顺社区
0,220102008005
1,111
2,全安小区社区
0,220102008006
1,111
2,平泉社区
0,220102008000
1,永吉街道办事处
0,220102009001
1,111
2,桃源社区
0,220102009002
1,111
2,滨河社区
0,220102009003
1,111
2,长源社区
0,220102009004
1,111
2,春源社区
0,220102009005
1,111
2,文庙社区
0,220102009000
1,桃源街道办事处
0,220102010001
1,111
2,伊水社区
0,220102010002
1,111
2,鹏程社区
0,220102010003
1,111
2,东风社区
0,220102010004
1,111
2,达兴社区
0,220102010005
1,111
2,繁荣社区
0,220102010200
1,111
2,东风村委会
0,220102010000
1,鸿城街道办事处
0,220102011001
1,111
2,明珠社区
0,220102011002
1,111
2,新城社区
0,220102011004
1,111
2,佳园社区
0,220102011005
1,111
2,新里社区
0,220102011200
1,112
2,光明村委会
0,220102011201
1,112
2,黑嘴子村委会
0,220102011000
1,明珠街道办事处
0,220102012001
1,111
2,中海南溪社区
0,220102012002
1,111
2,环城社区
0,220102012200
1,112
2,富裕村委会
0,220102012000
1,富裕街道办事处
0,220102200001
1,111
2,惠民嘉苑社区
0,220102200002
1,111
2,八一社区
0,220102200201
1,111
2,八一村委会
0,220102200203
1,112
2,红嘴子村委会
0,220102200000
1,幸福乡
0,220102000000
1,南关区
0,220103001001
1,111
2,贵阳街社区
0,220103001002
1,111
2,上海路社区
0,220103001000
1,新发街道办事处
0,220103002001
1,111
2,长江路社区
0,220103002002
1,111
2,丹东路社区
0,220103002003
1,111
2,北京大街社区
0,220103002004
1,111
2,西三条社区
0,220103002006
1,111
2,白菊路社区
0,220103002007
1,111
2,辽宁路社区
0,220103002100
1,111
2,长江路省级电脑科技商品经营开发区（特殊社区）
0,220103002000
1,站前街道办事处
0,220103003001
1,111
2,东四条街社区
0,220103003003
1,111
2,东二条街社区
0,220103003000
1,南广街道办事处
0,220103004001
1,111
2,黄河路南社区
0,220103004002
1,111
2,黄河路北社区
0,220103004000
1,东广街道办事处
0,220103005001
1,111
2,鞍山路社区
0,220103005002
1,111
2,长盛社区
0,220103005003
1,111
2,西道口社区
0,220103005004
1,111
2,北站社区
0,220103005005
1,111
2,北七条社区
0,220103005000
1,群英街道办事处
0,220103006001
1,111
2,宏波路社区
0,220103006002
1,111
2,天安街社区
0,220103006003
1,111
2,天章路社区
0,220103006004
1,111
2,双利社区
0,220103006005
1,111
2,九江路社区
0,220103006006
1,111
2,光明社区
0,220103006008
1,111
2,庆丰社区
0,220103006009
1,111
2,富城社区
0,220103006010
1,111
2,新村社区
0,220103006011
1,111
2,天波社区
0,220103006200
1,112
2,上台子村委会
0,220103006000
1,兴业街道办事处
0,220103007001
1,111
2,凯旋路社区
0,220103007002
1,111
2,一匡街社区
0,220103007003
1,111
2,三辅街社区
0,220103007004
1,111
2,一心街社区
0,220103007005
1,111
2,永盛街社区
0,220103007200
1,112
2,奋进村委会
0,220103007000
1,凯旋街道办事处
0,220103008001
1,111
2,福山路社区
0,220103008002
1,111
2,银山路社区
0,220103008003
1,111
2,长山花园社区
0,220103008004
1,111
2,龙山路社区
0,220103008005
1,111
2,首山路社区
0,220103008006
1,111
2,小南街社区
0,220103008007
1,111
2,天朗社区
0,220103008008
1,111
2,团山街社区
0,220103008200
1,112
2,小南村委会
0,220103008000
1,团山街道办事处
0,220103009001
1,111
2,菜市北街社区
0,220103009002
1,111
2,宋家路社区
0,220103009003
1,111
2,榆树北街社区
0,220103009004
1,111
2,富丰路社区
0,220103009005
1,111
2,基隆路社区
0,220103009006
1,111
2,柳江路社区
0,220103009007
1,111
2,扶余路社区
0,220103009008
1,111
2,新兴路社区
0,220103009009
1,111
2,新月路社区
0,220103009010
1,111
2,农安南街社区
0,220103009300
1,111
2,新月村委会（新月工业小区）（省级）
0,220103009000
1,柳影街道办事处
0,220103010001
1,111
2,长安世家社区
0,220103010002
1,111
2,民生家园社区
0,220103010200
1,111
2,五星村委会
0,220103010000
1,欣园街道办事处
0,220103100001
1,111
2,兰家大街居委会
0,220103100200
1,220
2,东道村委会
0,220103100201
1,220
2,合隆村委会
0,220103100202
1,220
2,郭家村委会
0,220103100203
1,220
2,广宁村委会
0,220103100204
1,220
2,邵家村委会
0,220103100205
1,112
2,丛家村委会
0,220103100210
1,220
2,小城子村委会
0,220103100211
1,220
2,蔡家村委会
0,220103100212
1,220
2,邱家村委会
0,220103100213
1,220
2,马家村委会
0,220103100215
1,220
2,姜家村委会
0,220103100216
1,220
2,六马村委会
0,220103100217
1,220
2,孟家村委会
0,220103100218
1,220
2,台家村委会
0,220103100000
1,兰家镇
0,220103101001
1,122
2,工农居委会
0,220103101002
1,122
2,街东居委会
0,220103101003
1,122
2,站前居委会
0,220103101004
1,122
2,仓储居委会
0,220103101005
1,121
2,街西居委会
0,220103101006
1,220
2,二三八居委会
0,220103101200
1,220
2,天吉村委会
0,220103101201
1,220
2,粱家村委会
0,220103101202
1,220
2,五家子村委会
0,220103101203
1,220
2,兴顺村委会
0,220103101204
1,220
2,四家子村委会
0,220103101205
1,220
2,跃进村委会
0,220103101206
1,220
2,太平村委会
0,220103101207
1,220
2,米沙子村委会
0,220103101208
1,220
2,江东店村委会
0,220103101209
1,220
2,铁岭村委会
0,220103101210
1,220
2,岫岩村委会
0,220103101211
1,220
2,辰光村委会
0,220103101212
1,220
2,新华村委会
0,220103101213
1,220
2,唐仗子村委会
0,220103101214
1,220
2,干务海村委会
0,220103101215
1,220
2,站北村委会
0,220103101216
1,220
2,刘家塘坊村委会
0,220103101217
1,220
2,于家店村委会
0,220103101218
1,220
2,兰家村委会
0,220103101219
1,220
2,姜家村委会
0,220103101220
1,220
2,广富村委会
0,220103101221
1,220
2,春元村委会
0,220103101222
1,220
2,乐元村委会
0,220103101223
1,220
2,黄家村委会
0,220103101224
1,220
2,良种场村委会
0,220103101226
1,220
2,南王家村委会
0,220103101227
1,220
2,别家村委会
0,220103101228
1,220
2,高家村委会
0,220103101229
1,220
2,刘家油房村委会
0,220103101000
1,米沙子镇
0,220103102001
1,121
2,开拓居委会
0,220103102002
1,121
2,志成居委会
0,220103102003
1,121
2,发达居委会
0,220103102004
1,121
2,腾飞居委会
0,220103102200
1,121
2,万宝村委会
0,220103102201
1,220
2,前进村委会
0,220103102202
1,220
2,东升村委会
0,220103102203
1,220
2,顺山村委会
0,220103102204
1,220
2,广太村委会
0,220103102205
1,220
2,刘城村委会
0,220103102206
1,220
2,万祥村委会
0,220103102207
1,220
2,善人村委会
0,220103102208
1,220
2,凡家村委会
0,220103102209
1,220
2,山西村委会
0,220103102210
1,220
2,曾家村委会
0,220103102211
1,220
2,大王家村委会
0,220103102212
1,220
2,赵家村委会
0,220103102213
1,220
2,富强村委会
0,220103102214
1,220
2,欢子台村委会
0,220103102215
1,220
2,代家村委会
0,220103102000
1,万宝镇
0,220103171100
1,121
2,合隆居委会（合隆经济开发区）（省级）
0,220103171200
1,121
2,合心村委会
0,220103171300
1,122
2,朱家园子村委会（合隆经济开发区）（省级）
0,220103171301
1,220
2,烧锅局子村委会（合隆经济开发区）（省级）
0,220103171302
1,220
2,孙家窝堡村委会（合隆经济开发区）（省级）
0,220103171303
1,220
2,迎新村委会（合隆经济开发区）（省级）
0,220103171304
1,220
2,邓家屯村委会（合隆经济开发区）（省级）
0,220103171305
1,220
2,白家营子村委会（合隆经济开发区）（省级）
0,220103171306
1,122
2,谭家屯村委会（合隆经济开发区）（省级）
0,220103171307
1,220
2,陈家店村委会（合隆经济开发区）（省级）
0,220103171308
1,220
2,放牛窝堡村委会（合隆经济开发区）（省级）
0,220103171309
1,220
2,烧锅岭村委会（合隆经济开发区）（省级）
0,220103171310
1,122
2,赵家粉房村委会（合隆经济开发区）（省级）
0,220103171311
1,220
2,八家子村委会（合隆经济开发区）（省级）
0,220103171312
1,220
2,韦家窝堡村委会（合隆经济开发区）（省级）
0,220103171313
1,220
2,战家窝堡村委会（合隆经济开发区）（省级）
0,220103171314
1,122
2,孙菜园子村委会（合隆经济开发区）（省级）
0,220103171315
1,220
2,于家店村委会（合隆经济开发区）（省级）
0,220103171316
1,220
2,国家屯村委会（合隆经济开发区）（省级）
0,220103171317
1,220
2,红星村委会（合隆经济开发区）（省级）
0,220103171318
1,220
2,谷家岭村委会（合隆经济开发区）（省级）
0,220103171000
1,合隆镇
0,220103000000
1,宽城区
0,220104001001
1,111
2,东田社区
0,220104001002
1,111
2,孟家社区
0,220104001003
1,111
2,东光社区
0,220104001004
1,111
2,吉福社区
0,220104001005
1,111
2,湖光社区
0,220104001006
1,111
2,宇光社区
0,220104001007
1,111
2,华宇社区
0,220104001008
1,111
2,文苑社区
0,220104001000
1,前进街道办事处
0,220104002001
1,111
2,西康路西社区
0,220104002002
1,111
2,自由大路社区
0,220104002003
1,111
2,同光路东社区
0,220104002004
1,111
2,同光路西社区
0,220104002005
1,111
2,西康路东社区
0,220104002006
1,111
