49.00,0,桔秒生鲜专营店,0,107800,107800,['其他'],酸梅汤罐装220g固体饮料 酸梅汤粉速溶颗粒 鑫栀堂,,,,https://haohuo.jinritemai.com/views/product/item?id=3426152509935346848
89.00,1,乐锐美妆专营店,0,34460,34460,"['食品饮料', '休闲食品', '糖果/巧克力']",Myni维生素C糖 1.6克*108颗/盒,13522053083,北京乐锐科技有限公司,13522053083,https://haohuo.jinritemai.com/views/product/item?id=3436889949927040456
39.90,0,刻凡醉心专卖店,2981,27345,37282,['其他'],刻凡国潮中秋月饼960g,,,,https://haohuo.jinritemai.com/views/product/item?id=3433510092002219794
99.00,1,大希地旗舰店,21202,21202,21202,"['生鲜', '冷藏/冷冻食品', '西式烘焙']",【大希地】蛋挞皮液套餐蛋挞皮480g*2+蛋挞专用液500g*3,4006369177,杭州大希地科技股份有限公司,18267189001,https://haohuo.jinritemai.com/views/product/item?id=3428325580825851177
50.20,1,林区大雷山货特产店,25,20707,20707,"['食品饮料', '粮油调味', '南北干货']",东北黒木耳春耳(中)无根干净500克/袋包邮,18814635907,林口县大雷农副产品有限公司,18745767830,https://haohuo.jinritemai.com/views/product/item?id=3308678560708997218
39.00,1,快抖美妆专营店,6313,19243,39259,['其他'],买1送1送同款【千人千色】韩水仙胡萝卜素变色润唇膏 滋润防干裂,020-29863829,快抖（广州）化妆品供应链有限公司,13713928380,https://haohuo.jinritemai.com/views/product/item?id=3427605825794004815
79.00,0,园湖贸易的小店,297,19063,19063,"['鞋靴', '时尚女鞋', '女士帆布鞋']",【增高4厘米】夏秋新款 厚底增高 高帮帆布鞋 时尚百搭,,,,https://haohuo.jinritemai.com/views/product/item?id=3431660702606187330
59.90,1,聚全味食品,868,14114,33813,"['食品饮料', '粮油调味', '方便食品']",正宗柳州螺蛳粉买5袋送1袋（实发6袋）,07722696777,柳州聚全味食品有限公司,13907725111,https://haohuo.jinritemai.com/views/product/item?id=3428122257074047111
265.30-74.42,1,,108,13370,13370,['其他'],UVLOOK紫外线测试卡 紫外线强度测试卡  共10张,15201086086,北京优彩科技有限公司,15201086086,https://haohuo.jinritemai.com/views/product/item?id=3421669809476218531
160.15-21.98,1,,13300,13300,13300,['其他'],红东农家倒蒸地瓜干/软糯香甜红薯干/无添加网红休闲零食250/500g,0597-5222888,连城千滋贸易有限公司,18605972957,https://haohuo.jinritemai.com/views/product/item?id=3436500400629522660
48.43-72.67,1,,11380,11380,11380,['其他'],极密大师定制底妆粉底刷 彩妆化妆刷 腮红刷,13728096275,广州市美悠美网络科技有限公司,13728096275,https://haohuo.jinritemai.com/views/product/item?id=3406269416042830219
99.00,2,固本堂,6359,11305,17527,"['食品饮料', '茗茶', '其它茶']",【固本堂】菊花决明子茶 150g（10g*15袋）,18663760860,济南跨界电子商务有限公司,15552538092,https://haohuo.jinritemai.com/views/product/item?id=3431331012402137154
5.02-143.88,0,,0,11204,11204,['其他'],剃须刀,,,,https://haohuo.jinritemai.com/views/product/item?id=3436261972021234886
69.00,1,千宝优品,921,10794,11944,['其他'],2020秋季新款高腰chic牛仔裤女蓝灰紧身显瘦显高修身小脚铅笔长裤,18816817067,东莞市羽独服饰有限公司,18816817067,https://haohuo.jinritemai.com/views/product/item?id=3432126646503744051
99.00,1,樱桃有物,116,10186,10186,"['个护清洁', '洗发护发', '护发']",德德维芙营养柔顺修护发膜,19128729431,广州樱桃电子商务有限公司,17620779949,https://haohuo.jinritemai.com/views/product/item?id=3428532299749283521
39.70,1,李子柒旗舰店,3559,9196,9196,['其他'],李子柒螺蛳粉广西特产柳州螺丝粉速食方便面米线螺狮粉3袋装,19941401618,杭州微念品牌管理有限公司,19941401618,https://haohuo.jinritemai.com/views/product/item?id=3437204790424290431
37.24-150.00,1,,9100,9100,9100,['其他'],超级英语（6合一课程 永久回看）,15850584347,南京玩酷教育信息咨询有限公司,15850584347,https://haohuo.jinritemai.com/views/product/item?id=3436908613715799256
69.00-79.00,2,广州睿风电子商务有限公司,2588,8998,18151,['其他'],【买一送一】草本修护祛痘膏A806,18148985877,广州睿风电子商务有限公司,18148985877,https://haohuo.jinritemai.com/views/product/item?id=3428862728788442607
59.90-39.90,1,车仆旗舰店,2744,8792,15771,['其他'],车仆燃油宝除积碳清洗剂正品6支,13826579344,深圳车仆汽车用品发展有限公司,18565719221,https://haohuo.jinritemai.com/views/product/item?id=3427030888729456627
48.59-234.66,1,,20,8790,8790,['其他'],（八折尝鲜） 阎崇年倾心之作《故宫六百年》附明清皇帝介绍彩页,010-53606110,北京立学文化传媒有限公司,18610812285,https://haohuo.jinritemai.com/views/product/item?id=3406822558471950427
39.00-79.00,1,郑州全福康,911,8648,10068,['其他'],[全福康]颈夹器,037155988968,郑州全福康生物科技有限公司,17737774600,https://haohuo.jinritemai.com/views/product/item?id=3428715973908297032
69.00-99.00,2,姿润堂,2601,8572,13790,['其他'],【抗皱电动眼霜】佩兰诗红纹魔力抚纹电动眼霜,18898338260,汕头市潮南区胪岗小万文具商店,18898338260,https://haohuo.jinritemai.com/views/product/item?id=3429510083640490414
69.00,2,万事合第三分公司,2750,8495,11393,['其他'],【SyMei】男士素颜霜 干净清爽 自然亮肤 隐形痘印瑕疵 是心动啊,13393710390,郑州万事合实业有限公司郑州第三分公司,13393710390,https://haohuo.jinritemai.com/views/product/item?id=3432743914816314524
131.51-13.09,1,,0,8469,8469,['其他'],小怪兽暖贴10片装109520177950（不可直接接触皮肤）,17367057761,浙江森马电子商务有限公司,17367057761,https://haohuo.jinritemai.com/views/product/item?id=3436152637094024047
55.00,1,荣享图书专营店,2950,8413,12450,"['图书', '文化用品', '教学/展示用品']",语文知识集锦二年级上册,17770634320,南昌荣享电子商务有限公司,18610870480,https://haohuo.jinritemai.com/views/product/item?id=3428527218685569774
69.00,1,湖州龙金甲服饰,1222,8285,9634,['其他'],男女童无痕保暖衣套装,18650675092,湖州龙金甲服饰有限公司,18650675092,https://haohuo.jinritemai.com/views/product/item?id=3435614235143623822
75.38-39.25,1,,0,8079,8079,['其他'],VT老虎养肤卸妆水女学生眼唇脸三合一专用脸部温和深层清洁正品男,18660081282,大连犇路物流供应链有限公司,18118410119,https://haohuo.jinritemai.com/views/product/item?id=3432960041983054123
39.80,1,斋橘图书,3375,7842,7881,['其他'],【次第花开】樊登推荐  ,18261127744,江苏百羿悠商贸有限公司,18261127744,https://haohuo.jinritemai.com/views/product/item?id=3433532773724459882
49.00-99.00,0,凌旻商贸,0,7727,11464,['其他'],【热销爆款】换季收纳神器 升级款加大加厚 收纳袋 防潮防霉,18812125598,高碑店市凌旻商贸有限公司,18812125598,https://haohuo.jinritemai.com/views/product/item?id=3434458830824709994
49.90,1,植益旗舰店,178,7330,7330,"['食品饮料', '饮料冲调', '牛奶乳品']",植益AD钙乳酸菌饮品100ml*20瓶整箱,15053458130,山东世俱先创生物科技有限公司,15053458130,https://haohuo.jinritemai.com/views/product/item?id=3427770707583572697
39.90,1,马仔哥美妆店,1254,7267,17048,['其他'],妍语彤茧壳蚕丝皂,18925812025,东莞市马仔哥影视传媒有限公司,18925812025,https://haohuo.jinritemai.com/views/product/item?id=3432262509120332336
