ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
B07F3238HF,2 Pack Black Compression Stocking Sleeve Calves Compression Socks Womens Plus Size Men 20-30mmhg Footless Support Socks for Shin Splints Running Leg Pain Nurses Maternity Pregnancy L14.1-16.5,FRANK&CLAIRE,Health & Household,$0,0,$17.99,$5.11,12.88,"946,407",1,67,1,FRANK&CLAIRE,5,"""6.3"" x ""11.4"" x ""0.7""",Standard (Small),0.2
B07F37PYMH,2 Pack Black Full Compression Stocking Women Plus Size Mens (20-30mmhg) Footless Socks Shin Splints Running Leg Pain Nurses Maternity Pregnancy XL16.5-18.8,FRANK&CLAIRE,Health & Household,$0,0,$17.99,$5.11,12.88,"1,028,603",1,67,1,FRANK&CLAIRE,2,"""6.3"" x ""11.4"" x ""0.7""",Standard (Small),0.2
B07F31DJ1H,2 Pack Blue Calf Compression Sleeve Reflective Men Women 20-30mmhg Footless Socks for Shin Splints Running Leg Pain Nurses Maternity Pregnancy Basketballer L14.1-16.5,FRANK&CLAIRE,Health & Household,$0,0,$17.99,N.A.,N.A.,"1,189,083",1,67,1,FRANK&CLAIRE,5,"""0.9"" x ""5.1"" x ""7.7""",,0.2006
B07F31BXR5,"2 Pack Blue Reflective Calf Compression Sleeves Men Women (20-30mmhg) Footless Full Compression Hose for Shin Splints, Runner, Leg Pain, Nurses & Maternity Pregnancy XL16.5-18.8",FRANK&CLAIRE,Health & Household,$0,0,$17.99,$5.11,12.88,"676,021",1,57,1,FRANK&CLAIRE,5,"""6.3"" x ""11.4"" x ""0.7""",Standard (Small),0.2
B07G9VWX71,2 Pairs Compression Socks Women Men 15-20 mmHg Knee High Plus Size Compression Ankle Support Stockings Nursing for Nurse Pregnant Running Athletic Travel Medical Edema Varicose Black (L/XL),FRANK&CLAIRE,"Clothing, Shoes & Jewelry",$0,0,$18.99,$6.04,12.95,"3,477,800",1,67,1,FRANK&CLAIRE,4,"""1.5"" x ""5.8"" x ""11""",Standard (Large),0.3505
B07C2NYZB4,2 Pairs Compression Socks Women Men 15-20mmhg Knee High,FRANK&CLAIRE,Health & Household,$0,0,$15.99,N.A.,N.A.,"1,180,212",2,56,1,FRANK&CLAIRE,5,"""0"" x ""0"" x ""0""",,0
B07C2JZGXS,2 Pairs Compression Socks Women Men 15-20mmhg Knee High,FRANK&CLAIRE,Health & Household,$0,0,$15.99,N.A.,N.A.,"1,171,019",2,56,1,FRANK&CLAIRE,5,"""0"" x ""0"" x ""0""",,0
B07C2GWP4R,2 Pairs Compression Socks Women Men 15-20mmhg Knee High,FRANK&CLAIRE,Health & Household,$0,0,$15.99,$5.59,10.4,"1,179,807",2,49,1,FRANK&CLAIRE,5,"""6.3"" x ""11.4"" x ""1.6""",Standard (Large),0.23
B07MK22PJC,"7 Pack Women Low Cut Casual Socks, Thin Cotton Socks, Basics Solid Socks, Lightweight (4-5.5)",FRANK&CLAIRE,"Clothing, Shoes & Jewelry",$0,0,$9.99,$4.69,5.3,"4,762,982",2,61,1,FRANK&CLAIRE,3.4,"""2.0472"" x ""6.1024"" x ""10.6693""",Standard (Large),0.2954
B07G923DBG,Calf Compression Sleeve for Men Women 15-20mmhg Best Footless Compression Socks for Shin Splints Running Leg Pain Nurses Maternity Pregnancy (Black Royal Blue L/XL),FRANK&CLAIRE,Health & Household,$0,0,$18.99,$5.26,13.73,"833,259",5,70,1,FRANK&CLAIRE,4.2,"""0.5"" x ""5.2"" x ""8.5""",Standard (Small),0.2491
