ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
B073V2919L,2 Pairs Compression Socks Toe Open Leg Support Stocking Knee High Socks with Zipper,ACTINPUT,"Clothing, Shoes & Jewelry",$8251.8,510,$16.18,$5.62,10.56,"42,114",378,64,1,Gofriendly,3.8,"""7.32"" x ""4.88"" x ""1.81""",Standard (Large),0.35
B06XQZBXDD,2 Pairs Compression Socks Toe Open Leg Support Stocking Knee High Socks with Zipper,ACTINPUT,"Clothing, Shoes & Jewelry",$20989.5,1050,$19.99,$7.71,12.28,"19,299",383,74,1,Gofriendly,3.8,"""12.91"" x ""9.29"" x ""2.99""",Standard (Large),1.05
B06XBQYXTN,2 Pairs Compression Socks Toe Open Leg Support Stocking Knee High Socks with Zipper,ACTINPUT,"Clothing, Shoes & Jewelry",$19519.5,1050,$18.59,$5.98,12.61,"19,364",508,57,1,Gofriendly,3.9,"""9.49"" x ""7.91"" x ""2.2""",Standard (Large),0.95
B07Y45MQ6N,2 Pairs Compression Socks Toe Open Leg Support Stocking Knee High Socks with Zipper,ACTINPUT,"Clothing, Shoes & Jewelry",$20913.75,1125,$18.59,$7.5,11.09,"17,946",513,37,1,Gofriendly,3.9,"""2.9921"" x ""9.2913"" x ""12.9134""",Standard (Large),1.0494
B06XQ93S8N,2 Pairs Compression Socks Toe Open Leg Support Stocking Knee High Socks with Zipper,ACTINPUT,"Clothing, Shoes & Jewelry",$29892.72,1608,$18.59,$5.98,12.61,"21,027",514,57,1,Gofriendly,3.9,"""2.0079"" x ""4.4094"" x ""5.9843""",Standard (Large),0.399
B06XKGGDGK,2 Pairs Compression Socks Toe Open Leg Support Stocking Knee High Socks with Zipper,ACTINPUT,"Clothing, Shoes & Jewelry",$17846.4,960,$18.59,$7.5,11.09,"21,331",514,57,1,Gofriendly,3.9,"""12.91"" x ""9.29"" x ""2.99""",Standard (Large),1.05
B071WRQ3YL,2 Pairs Compression Socks Toe Open Leg Support Stocking Knee High Socks with Zipper,ACTINPUT,"Clothing, Shoes & Jewelry",$25654.2,1380,$18.59,$5.98,12.61,"31,209",514,57,1,Gofriendly,3.9,"""7.28"" x ""4.61"" x ""1.69""",Standard (Large),0.3
B073V2P951,2 Pairs Compression Socks Toe Open Leg Support Stocking Knee High Socks with Zipper,ACTINPUT,"Clothing, Shoes & Jewelry",$27606.15,1485,$18.59,$5.98,12.61,"25,336",514,57,1,Gofriendly,3.9,"""7.32"" x ""4.88"" x ""1.81""",Standard (Large),0.35
B074QBQQKP,2 Pairs Compression Socks Toe Open Leg Support Stocking Knee High Socks with Zipper,ACTINPUT,"Clothing, Shoes & Jewelry",$20634.9,1110,$18.59,$5.98,12.61,"18,003",513,57,1,Gofriendly,3.9,"""7.32"" x ""4.88"" x ""1.81""",Standard (Large),0.35
B06XBKLKD5,2 Pairs Compression Socks Toe Open Leg Support Stocking Knee High Socks with Zipper,ACTINPUT,"Clothing, Shoes & Jewelry",$29855.54,1606,$18.59,$5.98,12.61,"21,749",514,37,1,Gofriendly,3.9,"""13.11"" x ""9.29"" x ""2.01""",Standard (Large),0.75
