ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
B07V4HHNV6,"2PCS Halloween Spider Headband+ 2PCS Halloween Face Tattoo,Aniwon Black Spider Web Headband Party Headband Hair Hoop with Spider Temporary Face Tattoo Transfer Eyeshadow Tattoo Sticker for Halloween",Aniwon,Beauty & Personal Care,$0,0,$11.99,$4.99,7,"559,111",10,71,2,Zoylink,4.2,"""2.4803"" x ""7.6772"" x ""8.189""",Standard (Large),0.1323
B07V5SF792,"6PCS Halloween Spider Headband & 6 PCS Skull Hair Clip,Aniwon Creative Halloween Party Headband Costume Headband Hair Hoop for Kids and Women Dress up Costume Halloween Party Supplies",Aniwon,Beauty & Personal Care,$0,0,$9.99,$4.69,5.3,"451,157",17,71,1,Zoylink,4.2,"""3.1102"" x ""7.9134"" x ""9.4094""",Standard (Large),0.463
B07XXVL6BJ,9pcs Christmas Headbands Antlers Headpiece 10 LEDs Hairband Hair Hoop Cosplay Costume Accessory for Kids Halloween Carnival Masquerade Party Decoration,Aniwon,Beauty & Personal Care,$1918.8,120,$15.99,$5.59,10.4,"62,298",,71,1,Life Dominater,,"""2.4016"" x ""3.7402"" x ""10.1181""",Standard (Large),0.582
B079FRHP63,Aniwon 1-5 Years Old 4Pcs Infant Toddler Baby Bibs with Sleeves Waterproof Bibs Long Sleeved Bibs,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$12.99,$5.14,7.85,"2,790,138",56,62,2,Life Dominater,4.1,"""10.7"" x ""8.58"" x ""3.03""",Standard (Large),0.36
B07J43V6YG,Aniwon 1-5 Years Old 4Pcs Infant Toddler Baby Bibs with Sleeves Waterproof Bibs Long Sleeved Bibs,Aniwon,"Clothing, Shoes & Jewelry",$779.4,60,$12.99,$5.14,7.85,"236,042",56,62,2,Life Dominater,4.1,"""10.63"" x ""8.66"" x ""0.79""",Standard (Large),0.39
B079G2SG93,Aniwon 1-5 Years Old 4Pcs Infant Toddler Baby Bibs with Sleeves Waterproof Bibs Long Sleeved Bibs,Aniwon,"Clothing, Shoes & Jewelry",$1558.8,120,$12.99,$5.14,7.85,"137,427",56,62,2,Life Dominater,4.1,"""10.71"" x ""8.58"" x ""3.03""",Standard (Large),0.36
B07BVGDTK8,Aniwon 1-5 Years Old 4Pcs Infant Toddler Baby Bibs with Sleeves Waterproof Bibs Long Sleeved Bibs,Aniwon,"Clothing, Shoes & Jewelry",$779.4,60,$12.99,$5.14,7.85,"252,991",54,42,2,Life Dominater,4.1,"""11.26"" x ""7.16"" x ""1.73""",Standard (Large),0.5
B07BVGB6XM,Aniwon 1-5 Years Old 4Pcs Infant Toddler Baby Bibs with Sleeves Waterproof Bibs Long Sleeved Bibs,Aniwon,"Clothing, Shoes & Jewelry",$779.4,60,$12.99,$5.14,7.85,"236,042",56,62,2,Life Dominater,4.1,"""9.84"" x ""7.09"" x ""1.18""",Standard (Large),0.71
B07K86HK4F,Aniwon 128PCS Travel Sewing Kit Portable DIY Mini Sewing Kit for Home Sewing Supplies Sewing Tools,Aniwon,"Clothing, Shoes & Jewelry",$134.85,15,$8.99,$4.54,4.45,"528,106",21,63,2,Cherubaby,4.3,"""1.5"" x ""5.8"" x ""6.9""",Standard (Large),0.399
B07C1567BV,Aniwon 14 Sheets Belly Sticker Month Sticker Number Weekly Pregnancy Sticker Photo Sticker,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$6.99,$4.24,2.75,"7,508,195",,51,1,Life Dominater,,"""5.91"" x ""3.15"" x ""1.97""",Standard (Large),0.21
B07C3MY389,Aniwon 18Pcs Womens Hair Claw Clips Vintage Jaw Clips Hair Clamps Hair Accessory for Bath Shower,Aniwon,Beauty & Personal Care,$0,0,$7.99,$4.39,3.6,"2,303,007",,61,1,Life Dominater,,"""7.0866"" x ""5.9055"" x ""1.5748""",Standard (Large),0.6195
