ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
B07MGWMT8V,"Ailaka 2 Pair Compression Cushioned Arch Support Brace, Plantar Fasciitis Sleeves for Pain Relief & Sore, Flat Feet, Heel Spurs",Ailaka,Health & Household,$53.94,6,$8.99,$3.76,5.23,"314,795",17,65,1,Ailaka,4.3,"""0.2992"" x ""3.2992"" x ""3.5984""",Standard (Small),0.0441
B083S81H3K,"Ailaka 2 Pairs Gel Height Increase Insole, Invisible Heel Lift Inserts, Elastic Shock Absorption Pads 3 Heights for Men & Women",Ailaka,Health & Household,$0,0,$14.99,N.A.,N.A.,"313,104",1,67,2,Ailaka,5,"""0.94"" x ""5.67"" x ""5.98""",,0.5997
B074S4MMG7,"Ailaka 20-30 mmHg Knee High Closed Toe Compression Calf Socks for Women and Men, Firm Support Graduated Varicose Veins Hosiery, Travel, Nurses, Pregnancy, Recovery",Ailaka,Health & Household,$0,0,$15.99,$4.81,11.18,"457,369",23,73,1,Ailaka,3.8,"""8.27"" x ""5.51"" x ""0.39""",Standard (Small),0.26
B07B9W85JW,"Ailaka 20-30 mmHg Knee High Closed Toe Compression Calf Socks for Women and Men, Firm Support Graduated Varicose Veins Hosiery, Travel, Nurses, Pregnancy, Recovery",Ailaka,Health & Household,$0,0,$16.99,$4.96,12.03,"575,908",101,68,1,Ailaka,4,"""0.6299"" x ""5.1181"" x ""9.4488""",Standard (Small),0.4409
B074S4BXK4,"Ailaka 20-30 mmHg Knee High Closed Toe Compression Calf Socks for Women and Men, Firm Support Graduated Varicose Veins Hosiery, Travel, Nurses, Pregnancy, Recovery",Ailaka,Health & Household,$0,0,$15.99,$4.81,11.18,"724,871",102,68,1,Ailaka,4,"""8.27"" x ""5.51"" x ""0.39""",Standard (Small),0.26
B074S3HZ3B,"Ailaka 20-30 mmHg Knee High Closed Toe Compression Calf Socks for Women and Men, Firm Support Graduated Varicose Veins Hosiery, Travel, Nurses, Pregnancy, Recovery",Ailaka,Health & Household,$0,0,$15.99,$4.81,11.18,"598,964",23,73,1,Ailaka,3.8,"""8.27"" x ""5.51"" x ""0.39""",Standard (Small),0.26
B074S4D29H,"Ailaka 20-30 mmHg Knee High Closed Toe Compression Calf Socks for Women and Men, Firm Support Graduated Varicose Veins Hosiery, Travel, Nurses, Pregnancy, Recovery",Ailaka,Health & Household,$0,0,$15.99,$4.81,11.18,"658,490",109,68,1,Ailaka,4.1,"""8.27"" x ""5.51"" x ""0.39""",Standard (Small),0.26
B074RZ2N7T,"Ailaka 20-30 mmHg Knee High Closed Toe Compression Calf Socks for Women and Men, Firm Support Graduated Varicose Veins Hosiery, Travel, Nurses, Pregnancy, Recovery",Ailaka,Health & Household,$0,0,$15.99,$4.81,11.18,"643,895",26,73,1,Ailaka,3.4,"""8.27"" x ""5.51"" x ""0.39""",Standard (Small),0.26
B074RY57NH,"Ailaka 20-30 mmHg Knee High Closed Toe Compression Calf Socks for Women and Men, Firm Support Graduated Varicose Veins Hosiery, Travel, Nurses, Pregnancy, Recovery",Ailaka,Health & Household,$0,0,$15.99,$4.81,11.18,"954,119",110,68,1,Ailaka,4.1,"""8.27"" x ""5.51"" x ""0.39""",Standard (Small),0.26
B07B9X9ST9,"Ailaka 20-30 mmHg Knee High Closed Toe Compression Calf Socks for Women and Men, Firm Support Graduated Varicose Veins Hosiery, Travel, Nurses, Pregnancy, Recovery",Ailaka,Health & Household,$0,0,$15.99,$4.81,11.18,"719,409",109,68,1,Ailaka,4.1,"""0.3937"" x ""5.8268"" x ""9.5276""",Standard (Small),0.4409
B074RYNG72,"Ailaka 20-30 mmHg Knee High Closed Toe Compression Calf Socks for Women and Men, Firm Support Graduated Varicose Veins Hosiery, Travel, Nurses, Pregnancy, Recovery",Ailaka,Health & Household,$0,0,$15.99,$4.81,11.18,"631,669",23,73,1,Ailaka,3.8,"""8.27"" x ""5.51"" x ""0.39""",Standard (Small),0.26
B074S3H6XT,"Ailaka 20-30 mmHg Knee High Closed Toe Compression Calf Socks for Women and Men, Firm Support Graduated Varicose Veins Hosiery, Travel, Nurses, Pregnancy, Recovery",Ailaka,Health & Household,$0,0,$15.99,$4.81,11.18,"543,542",110,68,1,Ailaka,4.1,"""8.27"" x ""5.51"" x ""0.39""",Standard (Small),0.26
B07B9X2WM6,"Ailaka 20-30 mmHg Knee High Open Toe Compression Calf Socks for Women and Men, Firm Support Graduated Varicose Veins Hosiery, Travel, Nurses, Pregnancy, Recovery (Beige, Medium)",Ailaka,Health & Household,$731.4,30,$24.38,$6.07,18.31,"168,439",61,73,1,Ailaka,4.3,"""5"" x ""3"" x ""0.5""",Standard (Small),0.2
B07B9XG4XW,"Ailaka 20-30 mmHg Knee High Open Toe Compression Calf Socks for Women and Men, Firm Support Graduated Varicose Veins Hosiery, Travel, Nurses, Pregnancy, Recovery (Beige, Small)",Ailaka,Health & Household,$0,0,$15.99,$4.81,11.18,"409,378",8,71,1,Ailaka,3.8,"""5"" x ""3"" x ""0.5""",Standard (Small),0.2
B07B9XKJKS,"Ailaka 20-30 mmHg Knee High Open Toe Compression Calf Socks for Women and Men, Firm Support Graduated Varicose Veins Hosiery, Travel, Nurses, Pregnancy, Recovery (Beige,XXL)",Ailaka,Health & Household,$0,0,$15.99,$4.81,11.18,"229,320",159,68,1,Ailaka,4.3,"""5"" x ""3"" x ""0.5""",Standard (Small),0.2
B07B9WK744,"Ailaka 20-30 mmHg Knee High Open Toe Compression Calf Socks for Women and Men, Firm Support Graduated Varicose Veins Hosiery, Travel, Nurses, Pregnancy, Recovery (Black, Large)",Ailaka,Health & Household,$269.85,15,$17.99,$5.11,12.88,"188,266",61,73,1,Ailaka,4.3,"""5"" x ""3"" x ""0.5""",Standard (Small),0.2
B07B9TPLKX,"Ailaka 20-30 mmHg Knee High Open Toe Compression Calf Socks for Women and Men, Firm Support Graduated Varicose Veins Hosiery, Travel, Nurses, Pregnancy, Recovery (Black, Medium)",Ailaka,Health & Household,$0,0,$15.99,$4.81,11.18,"375,065",159,68,1,Ailaka,4.3,"""5"" x ""3"" x ""0.5""",Standard (Small),0.2
