,0
0,520101000000
1,市辖区
0,520102200001
1,111
2,山水黔城居委会
0,520102200201
1,111
2,太慈村委会
0,520102200202
1,111
2,朝阳村委会
0,520102200203
1,111
2,四方河村委会
0,520102200204
1,111
2,后巢村委会
0,520102200000
1,后巢乡
0,520102201201
1,111
2,油榨村民委员会
0,520102201202
1,111
2,二戈村民委员会
0,520102201203
1,111
2,红岩村民委员会
0,520102201204
1,111
2,云关村民委员会
0,520102201205
1,111
2,木头村民委员会
0,520102201206
1,112
2,摆郎村民委员会
0,520102201000
1,云关乡
0,520102202201
1,111
2,云盘村委会
0,520102202202
1,111
2,水坝村委会
0,520102202203
1,111
2,小碧村委会
0,520102202204
1,111
2,甘庄村委会
0,520102202205
1,111
2,下坝村委会
0,520102202206
1,111
2,二堡村委会
0,520102202207
1,111
2,黄泥哨村委会
0,520102202208
1,111
2,黄泥甫村委会
0,520102202209
1,111
2,猫洞村委会
0,520102202210
1,111
2,秦棋村委会
0,520102202211
1,111
2,马寨村委会
0,520102202212
1,122
2,大地村委会
0,520102202000
1,小碧布依族苗族乡
0,520102203200
1,210
2,罗吏村委会
0,520102203201
1,210
2,永乐村委会
0,520102203202
1,220
2,羊角村委会
0,520102203203
1,220
2,石塘村委会
0,520102203204
1,220
2,水塘村委会
0,520102203205
1,220
2,干井村委会
0,520102203206
1,210
2,柏杨村委会
0,520102203000
1,永乐乡
0,520102400001
1,111
2,纪念塔居委会
0,520102400002
1,111
2,新华路居委会
0,520102400003
1,111
2,甲秀楼居委会
0,520102400004
1,111
2,兴隆街居委会
0,520102400005
1,111
2,箭道街居委会
0,520102400006
1,111
2,电力巷居委会
0,520102400007
1,111
2,神奇路居委会
0,520102400000
1,新华社区服务中心
0,520102401001
1,111
2,南明堂居委会
0,520102401002
1,111
2,观风台居委会
0,520102401003
1,111
2,西湖路居委会
0,520102401004
1,111
2,梭石巷居委会
0,520102401005
1,111
2,官井路居委会
0,520102401006
1,111
2,东笙巷居委会
0,520102401007
1,111
2,盛世花城居委会
0,520102401000
1,西湖社区服务中心
0,520102402001
1,111
2,宝山南路居委会
0,520102402002
1,111
2,观水路居委会
0,520102402003
1,111
2,水口寺居委会
0,520102402004
1,111
2,蟠桃宫居委会
0,520102402005
1,111
2,红岩路居委会
0,520102402006
1,111
2,月亮岩居委会
0,520102402007
1,111
2,松竹苑居委会
0,520102402008
1,111
2,世纪新城居委会
0,520102402009
1,111
2,红岩东郡居委会
0,520102402000
1,水口寺社区服务中心
0,520102403001
1,111
2,会文巷居委会
0,520102403002
1,111
2,尚武巷居委会
0,520102403003
1,111
2,护国路居委会
0,520102403004
1,111
2,富水南路居委会
0,520102403005
1,111
2,白沙巷居委会
0,520102403000
1,大南社区服务中心
0,520102404001
1,111
2,阳明路居委会
0,520102404002
1,111
2,醒狮路居委会
0,520102404003
1,111
2,汉湘街居委会
0,520102404000
1,中南社区服务中心
0,520102405001
1,111
2,市府路居委会
0,520102405002
1,111
2,公园南路居委会
0,520102405003
1,111
2,法院街居委会
0,520102405004
1,111
2,都司西路居委会
0,520102405005
1,111
2,博爱路居委会
0,520102405000
1,市府社区服务中心
0,520102406001
1,111
2,金地居委会
0,520102406002
1,111
2,星云居委会
0,520102406003
1,111
2,文化路居委会
0,520102406004
1,111
2,省工会居委会
0,520102406005
1,111
2,瑞金居委会
0,520102406006
1,111
2,次南门居委会
0,520102406007
1,111
2,财贸居委会
0,520102406008
1,111
2,河滨公园居委会
0,520102406000
1,河滨社区服务中心
0,520102407001
1,111
2,青云路居委会
0,520102407002
1,111
2,遵义街居委会
0,520102407003
1,111
2,解放路居委会
0,520102407004
1,111
2,解五居委会
0,520102407005
1,111
2,体育路居委会
0,520102407006
1,111
2,二七路居委会
0,520102407007
1,111
2,解放西路居委会
0,520102407008
1,111
2,南冲巷居委会
0,520102407009
1,111
2,八达巷居委会
0,520102407010
1,111
2,铁运巷居委会
0,520102407011
1,111
2,五眼桥居委会
0,520102407000
1,遵义社区服务中心
0,520102408001
1,111
2,南厂路居委会
0,520102408002
1,111
2,环南巷居委会
0,520102408003
1,111
2,送变电居委会
0,520102408004
1,111
2,兴关路居委会
0,520102408005
1,111
2,青云巷居委会
0,520102408006
1,111
2,尚义巷居委会
0,520102408007
1,111
2,纺织巷居委会
0,520102408008
1,111
2,营盘路居委会
0,520102408009
1,111
2,沙冲北路居委会
0,520102408010
1,111
2,猫猫坡居委会
0,520102408011
1,111
2,新寨路居委会
0,520102408000
1,兴关社区服务中心
0,520102409001
1,111
2,锦泰居委会
0,520102409002
1,111
2,朝阳巷居委会
0,520102409003
1,111
2,沙冲南路居委会
0,520102409004
1,111
2,桃园路居委会
0,520102409005
1,111
2,玉溪巷居委会
0,520102409006
1,111
2,玉厂路居委会
0,520102409007
1,111
2,朝阳洞路居委会
0,520102409008
1,111
2,玉田巷居委会
0,520102409009
1,111
2,凤凰湾居民委员会
0,520102409000
1,沙冲社区服务中心
0,520102410001
1,111
2,陈庄坝居委会
0,520102410002
1,111
2,绿苑居委会
0,520102410003
1,111
2,大庆路居委会
0,520102410004
1,111
2,沙冲中路居委会
0,520102410005
1,111
2,大理石路居委会
0,520102410006
1,111
2,望城路居委会
0,520102410007
1,111
2,美树阳光居委会
0,520102410008
1,111
2,卧龙山庄居委会
0,520102410009
1,111
2,天源居居委会
0,520102410010
1,111
2,大正雨曦居委会
0,520102410000
1,沙南社区服务中心
0,520102411001
1,111
2,艺校居委会
0,520102411002
1,111
2,康瑞苑居委会
0,520102411003
1,111
2,工具厂居委会
0,520102411004
1,111
2,青山路居委会
0,520102411005
1,111
2,南郊居委会
0,520102411006
1,111
2,青山二居委会
0,520102411007
1,111
2,车水路居委会
0,520102411008
1,111
2,凤凰路居委会
0,520102411009
1,111
2,凤栖居委会
0,520102411010
1,111
2,电建一公司居委会
0,520102411011
1,111
2,青山一居委会
0,520102411012
1,111
2,青城居委会
0,520102411013
1,111
2,国际城一居委会
0,520102411014
1,111
2,国际城二居委会
0,520102411015
1,111
2,国际城第三居民委员会
0,520102411000
1,太慈社区服务中心
0,520102412001
1,111
2,狮峰路居委会
0,520102412002
1,111
2,狮子山居委会
0,520102412003
1,111
2,沙坡路居委会
0,520102412004
1,111
2,后街居委会
0,520102412006
1,111
2,春蚕巷居委会
0,520102412007
1,111
2,惠农巷居委会
0,520102412008
1,111
2,贵惠路南段居委会
0,520102412009
1,111
2,文雅巷居委会
0,520102412010
1,111
2,后坝居委会
0,520102412000
1,湘雅社区服务中心
0,520102413001
1,111
2,东新区路居委会
0,520102413002
1,111
2,青年路居委会
0,520102413003
1,111
2,冶金大院居委会
0,520102413004
1,111
2,冶金路居委会
0,520102413005
1,111
2,东宝花园居委会
0,520102413006
1,111
2,雨高桥居委会
0,520102413007
1,111
2,富源北路居委会
0,520102413008
1,111
2,油榨街居委会
0,520102413009
1,111
2,南兴巷居委会
0,520102413010
1,111
2,蓑草路居委会
0,520102413011
1,111
2,嘉润路居委会
0,520102413012
1,111
2,南岳路居委会
0,520102413013
1,111
2,粑粑街居委会
0,520102413014
1,111
2,南浦路居委会
0,520102413015
1,111
2,市南路居委会
0,520102413016
1,111
2,团坡桥居委会
0,520102413000
1,油榨社区服务中心
0,520102414001
1,111
2,皂角井路居委会
0,520102414002
1,111
2,四方河路居委会
0,520102414003
1,111
2,荫塘巷居委会
0,520102414004
1,111
2,九洲巷居委会
0,520102414005
1,111
2,四喜巷居委会
0,520102414006
1,111
2,五湖巷居委会
0,520102414007
1,111
2,菊花洞路居委会
0,520102414008
1,111
2,上坝路居委会
0,520102414009
1,111
2,垄岩路居委会
0,520102414010
1,111
2,中坝幸福小区第一居委会
0,520102414011
1,111
