供应商名称,诚信通年数,诚信等级,累计成交数,累计买家数,重复购买率,退货率,产品名称,产品价格,产品评论量,产品评论等级,产品交易量,产品网址

深圳熙隆实业有限公司,3,AA级,663,176,51.70%,1.00%,跨境专供遮阳板车载蓝牙MP3电话免提汽车FM手机蓝牙TF音乐播放器,50.00,20,5.0,13,https://detail.1688.com/offer/586475019754.html

厦门爱恋宝贝贸易有限公司,6,AAA级,4896,1265,17.89%,3.00%,厂家车载mp3跨境汽车用品车载蓝牙播放器汽车音乐插卡FM接收器,18.60,412,4.8,7566,https://detail.1688.com/offer/576834377355.html

深圳市鑫华创能科技有限公司,4,A级,682,106,56.19%,2.00%,10寸通用主机Carplay安卓大屏导航记录仪gps卡普瑞四核车载mp3,640.00,2,3.5,161,https://detail.1688.com/offer/529087995707.html

深圳市千牛科技发展有限公司,6,AAA级,417,176,31.43%,5.00%,先科车载mp3车载mp3蓝牙车载mp3手机U盘蓝牙车载MP3播放器批发,64.00,242,5.0,3,https://detail.1688.com/offer/546190511700.html

深圳市康瑞现代电子有限公司,3,A级,1320,260,36.19%,3.00%,车载蓝牙mp3车载mp3蓝牙音控免提通话U盘播放FM发射QC3.0充电器,46.00,190,5.0,72,https://detail.1688.com/offer/558599960784.html

深圳市艾科力讯科技有限公司,4,AA级,2569,767,42.54%,6.00%,bt53车载蓝牙车载蓝牙mp3车载mp3蓝牙播放器QC3.0车载蓝牙mp3,32.98,0,0.0,0,https://detail.1688.com/offer/577470839535.html

深圳市福田区鑫科达电子商行,8,AAA级,1018,236,50.85%,0.00%,fm12b车载蓝牙车载蓝牙mp3车载mp3播放器蓝牙MP3汽车mp3,65.00,160,5.0,41,https://detail.1688.com/offer/551226618741.html

深圳市福田区赛格电子市场品尚博电子经营部,2,A级,107,29,37.93%,2.00%,c52s车载蓝牙MP3车载mp3PD充电播放器蓝牙免提外贸爆款蓝牙,55.00,0,0.0,0,https://detail.1688.com/offer/597563627514.html

深圳市聚伟发科技有限公司,3,AA级,366,115,46.49%,1.00%,新款现货车载mp3车载蓝牙mp3播放器车载蓝牙FM发射汽车mp3,48.00,990,5.0,121,https://detail.1688.com/offer/561357643449.html

深圳市龙岗区正德港电子商行,4,AA级,1886,632,39.62%,2.00%,t618车载MP3播放器鸡腿烟斗款汽车MP3插卡U盘点烟器mp3FM发射,23.00,26,5.0,108,https://detail.1688.com/offer/528367400197.html

深圳市西诺电子有限公司,11,AA级,205,58,55.17%,0.00%,"MP618车载MP3,支持MP3,WMA格式",25.00,31,4.6,100,https://detail.1688.com/offer/978488223.html

