供应商名称,诚信通年数,诚信等级,累计成交数,累计买家数,重复购买率,退货率,产品名称,产品价格,产品评论量,产品评论等级,产品交易量,产品网址

深圳熙隆实业有限公司,3,AA级,663,176,51.70%,1.00%,跨境专供遮阳板车载蓝牙MP3电话免提汽车FM手机蓝牙TF音乐播放器,50.00,20,5.0,13,https://detail.1688.com/offer/586475019754.html

厦门爱恋宝贝贸易有限公司,6,AAA级,4896,1265,17.89%,3.00%,厂家车载mp3跨境汽车用品车载蓝牙播放器汽车音乐插卡FM接收器,18.60,412,4.8,7566,https://detail.1688.com/offer/576834377355.html

深圳市鑫华创能科技有限公司,4,A级,682,106,56.19%,2.00%,10寸通用主机Carplay安卓大屏导航记录仪gps卡普瑞四核车载mp3,640.00,2,3.5,161,https://detail.1688.com/offer/529087995707.html

深圳市千牛科技发展有限公司,6,AAA级,417,176,31.43%,5.00%,先科车载mp3车载mp3蓝牙车载mp3手机U盘蓝牙车载MP3播放器批发,64.00,242,5.0,3,https://detail.1688.com/offer/546190511700.html

深圳市康瑞现代电子有限公司,3,A级,1320,260,36.19%,3.00%,车载蓝牙mp3车载mp3蓝牙音控免提通话U盘播放FM发射QC3.0充电器,46.00,190,5.0,72,https://detail.1688.com/offer/558599960784.html
