currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,seriousCount,suspectedIncr,currentConfirmedIncr,confirmedIncr,curedIncr,deadIncr,seriousIncr,updateTime
53202,76395,5365,20845,2348,11477,1361,-2273,402,2566,109,-156,2020-02-22
53205,76395,5365,20842,2348,11477,1361,-2270,402,2563,109,-156,2020-02-22
53206,76395,5365,20841,2348,11477,1361,-2269,402,2562,109,-156,2020-02-22
53213,76395,5365,20834,2348,11477,1361,-2262,402,2555,109,-156,2020-02-22
53212,76394,5365,20834,2348,11477,1361,-2263,401,2555,109,-156,2020-02-22
53227,76394,5365,20819,2348,11477,1361,-2248,401,2540,109,-156,2020-02-22
53232,76394,5365,20814,2348,11477,1361,-2243,401,2535,109,-156,2020-02-22
53238,76394,5365,20808,2348,11477,1361,-2237,401,2529,109,-156,2020-02-22
53249,76394,5365,20797,2348,11477,1361,-2226,401,2518,109,-156,2020-02-22
53252,76394,5365,20794,2348,11477,1361,-2223,401,2515,109,-156,2020-02-22
53255,76394,5365,20791,2348,11477,1361,-2220,401,2512,109,-156,2020-02-22
53254,76394,5365,20792,2348,11477,1361,-2221,401,2513,109,-156,2020-02-22
53273,76394,5365,20773,2348,11477,1361,-2202,401,2494,109,-156,2020-02-22
53305,76394,5365,20741,2348,11477,1361,-2170,401,2462,109,-156,2020-02-22
53321,76394,5365,20725,2348,11477,1361,-2154,401,2446,109,-156,2020-02-22
53330,76394,5365,20716,2348,11477,1361,-2145,401,2437,109,-156,2020-02-22
53337,76394,5365,20709,2348,11477,1361,-2138,401,2430,109,-156,2020-02-22
53361,76394,5365,20685,2348,11477,1361,-2114,401,2406,109,-156,2020-02-22
53372,76394,5365,20674,2348,11477,1361,-2103,401,2395,109,-156,2020-02-22
53372,76394,5365,20674,2348,11477,1361,-2103,401,2395,109,-156,2020-02-22
53370,76392,5365,20674,2348,11477,1361,-2105,399,2395,109,-156,2020-02-22
53373,76395,5365,20674,2348,11477,1361,-2102,402,2395,109,-156,2020-02-22
53374,76395,5365,20673,2348,11477,1361,-2101,402,2394,109,-156,2020-02-22
53371,76392,5365,20673,2348,11477,1361,-2104,399,2394,109,-156,2020-02-22
53371,76392,5365,20673,2348,11477,1361,-2104,399,2394,109,-156,2020-02-22
53371,76392,5365,20673,2348,11477,1361,-2104,399,2394,109,-156,2020-02-22
55033,76006,5206,18733,2240,11633,,,,,,,2020-02-22
55033,76006,5206,18733,2240,11633,,,,,,,2020-02-22
55033,76006,5206,18733,2240,11633,,,,,,,2020-02-22
55049,76003,5206,18714,2240,11633,,,,,,,2020-02-22
54631,75577,5206,18706,2240,11633,,,,,,,2020-02-22
54631,75576,5206,18706,2239,11633,,,,,,,2020-02-22
54633,75576,5206,18704,2239,11633,,,,,,,2020-02-22
54645,75571,5206,18687,2239,11633,1614,-1741,896,2519,118,-231,2020-02-21
54651,75571,5206,18681,2239,11633,1614,-1735,896,2513,118,-231,2020-02-21
54653,75571,5206,18679,2239,11633,1614,-1733,896,2511,118,-231,2020-02-21
