"createTime","modifyTime","tags","countryType","provinceId","provinceName","provinceShortName","cityName","confirmedCount","suspectedCount","curedCount","deadCount","comment","country","confirmed","suspect","cured","death"
"1579538652000","1579611527000","确诊270例，疑似11例，治愈25例，死亡6例","1","42","湖北省","","","","","","","","中国","270","11","25","6"
"1579542158000","1579619645000","确诊10例","1","11","北京市","","","","","","","","中国","10","0","0","0"
"1579542174000","1579617540000","确诊17例，疑似4例","1","44","广东省","","","","","","","","中国","17","4","0","0"
"1579542231000","1579607685000","确诊6例，疑似3例","1","31","上海市","","","","","","","","中国","6","3","0","0"
"1579546399000","1579617110000","确诊5例，疑似16例","1","33","浙江省","","","","","","","","中国","5","16","0","0"
"1579542213000","1579623150000","确诊1例","1","53","云南省","","","","","","","","中国","1","0","0","0"
"1579542193000","1579617420000","确诊1例，疑似2例","1","51","四川省","","","","","","","","中国","1","2","0","0"
"1579542291000","1579623090000","确诊1例","1","37","山东省","","","","","","","","中国","1","0","0","0"
"1579542254000","1579545591000","疑似1例","1","45","广西壮族自治区","","","","","","","","中国","0","1","0","0"
"1579588572000","1579588616000","疑似1例","1","52","贵州省","","","","","","","","中国","0","1","0","0"
"1579598038000","1579598038000","疑似1例","1","34","安徽省","","","","","","","","中国","0","1","0","0"
"1579598057000","1579598057000","疑似1例","1","46","海南省","","","","","","","","中国","0","1","0","0"
"1579598101000","1579598101000","疑似1例","1","64","宁夏回族自治区","","","","","","","","中国","0","1","0","0"
"1579598339000","1579598339000","疑似1例","1","22","吉林省","","","","","","","","中国","0","1","0","0"
"1579598380000","1579598380000","疑似2例","1","36","江西省","","","","","","","","中国","0","2","0","0"
"1579604600000","1579604600000","确诊2例","1","12","天津市","","","","","","","","中国","2","0","0","0"
"1579607817000","1579607831000","确诊1例","1","41","河南省","","","","","","","","中国","1","0","0","0"
"1579612635000","1579612642000","确诊5例","1","50","重庆市","","","","","","","","中国","5","0","0","0"
"1579625822000","1579625822000","疑似1例","1","21","辽宁省","","","","","","","","中国","0","1","0","0"
"1579617167000","1579617167000","确诊1例","1","68","台湾","","","","","","","","中国","1","0","0","0"
"1579617215000","1579617215000","疑似117例","1","66","香港","","","","","","","","中国","0","117","0","0"
"1579621178000","1579621178000","疑似1例","1","23","黑龙江省","","","","","","","","中国","0","1","0","0"
"1579623404000","1579623404000","确诊1例","1","43","湖南省","","","","","","","","中国","1","0","0","0"
"1579598380000","1579652549000","确诊2例，疑似2例","1","36","江西省","","","","","","","","中国","2","2","0","0"
"1579542193000","1579652680000","确诊2例，疑似1例","1","51","四川省","","","","","","","","中国","2","1","0","0"
"1579598380000","1579652643000","确诊2例","1","36","江西省","","","","","","","","中国","2","0","0","0"
"1579598038000","1579652704000","疑似2例","1","34","安徽省","","","","","","","","中国","0","2","0","0"
"1579656427000","1579656427000","疑似1例","1","21","辽宁省","","","","","","","","中国","0","1","0","0"
"1579598038000","1579656788000","疑似3例","1","34","安徽省","","","","","","","","中国","0","3","0","0"
"1579542231000","1579660717000","确诊9例，疑似10例","1","31","上海市","","","","","","","","中国","9","10","0","0"
"1579542254000","1579661844000","疑似2例","1","45","广西壮族自治区","","","","","","","","中国","0","2","0","0"
"1579538652000","1579662606000","确诊270例，疑似11例，治愈25例，死亡9例","1","42","湖北省","","","","","","","","中国","270","11","25","9"
"1579663914000","1579663914000","确诊1例","1","67","澳门","","","","","","","","中国","1","0","0","0"
"1579542174000","1579669557000","确诊26例，疑似1例","1","44","广东省","","","","","","","","中国","26","1","0","0"
"1579546399000","1579669569000","确诊10例","1","33","浙江省","","","","","","","","中国","10","0","0","0"
"1579607817000","1579675184000","确诊4例","1","41","河南省","","","","","","","","中国","4","0","0","0"
"1579604600000","1579675233000","确诊4例","1","12","天津市","","","","","","","","中国","4","0","0","0"
"1579607817000","1579677630000","确诊1例","1","41","河南省","","","","","","","","中国","1","0","0","0"
"1579538652000","1579682719000","确诊375例，疑似11例，治愈25例，死亡9例","1","42","湖北省","","","","","","","","中国","375","11","25","9"
"1579598057000","1579682754000","确诊4例","1","46","海南省","","","","","","","","中国","4","0","0","0"
"1579656427000","1579682790000","确诊2例","1","21","辽宁省","","","","","","","","中国","2","0","0","0"
"1579682845000","1579682845000","疑似1例","1","14","山西省","","","","","","","","中国","0","1","0","0"
"1579538652000","1579683207000","确诊375例，疑似病例数待确认，治愈25例，死亡9例","1","42","湖北省","","","","","","","","中国","375","null","25","9"
"1579542193000","1579683833000","确诊2例，疑似5例","1","51","四川省","","","","","","","","中国","2","5","0","0"
"1579598038000","1579685257000","确诊1例，疑似4例","1","34","安徽省","","","","","","","","中国","1","4","0","0"
"1579688286000","1579688295000","确诊1例","1","35","福建省","","","","","","","","中国","1","0","0","0"
"1579588572000","1579688754000","确诊1例","1","52","贵州省","","","","","","","","中国","1","0","0","0"
"1579656427000","1579689638000","确诊2例","1","21","辽宁省","","","","","","","","中国","2","0","0","0"
"1579542158000","1579689745000","确诊10例","1","11","北京市","","","","","","","","中国","10","0","0","0"
"1579542174000","1579689756000","确诊26例，疑似1例","1","44","广东省","","","","","","","","中国","26","1","0","0"
"1579542231000","1579689808000","确诊9例，疑似10例","1","31","上海市","","","","","","","","中国","9","10","0","0"
"1579546399000","1579689819000","确诊10例","1","33","浙江省","","","","","","","","中国","10","0","0","0"
"1579621178000","1579689834000","疑似1例","1","23","黑龙江省","","","","","","","","中国","0","1","0","0"
"1579623404000","1579689851000","确诊4例","1","43","湖南省","","","","","","","","中国","4","0","0","0"
"1579682845000","1579690073000","确诊1例","1","14","山西省","","","","","","","","中国","1","0","0","0"
"1579612635000","1579690271000","确诊6例","1","50","重庆市","","","","","","","","中国","6","0","0","0"
"1579542193000","1579690416000","确诊5例，疑似2例","1","51","四川省","","","","","","","","中国","5","2","0","0"
"1579598101000","1579691939000","确诊1例","1","64","宁夏回族自治区","","","","","","","","中国","1","0","0","0"
"1579542254000","1579692451000","确诊2例","1","45","广西壮族自治区","","","","","","","","中国","2","0","0","0"
"1579607817000","1579692632000","确诊5例","1","41","河南省","","","","","","","","中国","5","0","0","0"
"1579542254000","1579693116000","确诊2例，疑似1例","1","45","广西壮族自治区","","","","","","","","中国","2","1","0","0"
"1579538652000","1579700192000","确诊375例，疑似病例数待确认，治愈25例，死亡9例","1","42","湖北省","湖北","","","","","","","中国","375","null","25","9"
"1579542213000","1579700208000","确诊1例","1","53","云南省","云南","","","","","","","中国","1","0","0","0"
"1579688286000","1579700200000","确诊1例","1","35","福建省","福建","","","","","","","中国","1","0","0","0"
"1579542193000","1579700216000","确诊5例，疑似2例","1","51","四川省","四川","","","","","","","中国","5","2","0","0"
"1579542291000","1579700224000","确诊1例","1","37","山东省","山东","","","","","","","中国","1","0","0","0"
