,0
0,150101000000
1,市辖区
0,150102001001
1,111
2,公主府社区居委会
0,150102001006
1,111
2,内蒙古军区社区居委会
0,150102001007
1,111
2,哲里木路社区居委会
0,150102001008
1,111
2,体校巷社区居委会
0,150102001009
1,111
2,内蒙古工业大学社区居委会
0,150102001010
1,111
2,公安厅社区居委会
0,150102001012
1,111
2,长海社区居委会
0,150102001014
1,111
2,气象局东巷社区居委会
0,150102001015
1,111
2,八一路社区居委会
0,150102001000
1,海拉尔东路街道办事处
0,150102002001
1,111
2,车站西街社区居委会
0,150102002002
1,111
2,车站东街社区居委会
0,150102002003
1,111
2,三角线社区居委会
0,150102002005
1,111
2,中山里社区居委会
0,150102002006
1,111
2,电厂前街社区居委会
0,150102002000
1,锡林路街道办事处
0,150102003001
1,111
2,新华社区居委会
0,150102003002
1,111
2,迎宾南路社区居委会
0,150102003003
1,111
2,中山社区居委会
0,150102003004
1,111
2,团结社区居委会
0,150102003000
1,中山东路街道办事处
0,150102004001
1,111
2,东库街社区居委会
0,150102004002
1,111
2,内蒙党委社区居委会
0,150102004003
1,111
2,东护城河北街社区居委会
0,150102004007
1,111
2,老缸房街社区居委会
0,150102004008
1,111
2,河西社区居委会
0,150102004009
1,111
2,东护城河南街社区居委会
0,150102004000
1,东街街道办事处
0,150102005001
1,111
2,艺术厅北街社区居委会
0,150102005002
1,111
2,曙光街社区居委会
0,150102005003
1,111
2,西落凤街社区居委会
0,150102005006
1,111
2,星火巷社区居委会
0,150102005008
1,111
2,艺术厅南街社区居委会
0,150102005000
1,西街街道办事处
0,150102006002
1,111
2,芳汀花园社区居委会
0,150102006003
1,111
2,东影北街社区居委会
0,150102006004
1,111
2,昭君新村社区居委会
0,150102006005
1,111
2,丽苑社区居委会
0,150102006013
1,111
2,光华街社区居委会
0,150102006014
1,111
2,海东路社区居委会
0,150102006015
1,111
2,兴安北社区居委会
0,150102006016
1,111
2,祥园社区居委会
0,150102006000
1,东风路街道办事处
0,150102007002
1,111
2,展北社区居委会
0,150102007006
1,111
2,新春社区居委会
0,150102007007
1,111
2,如意社区居委会
0,150102007008
1,111
2,人和社区居委会
0,150102007009
1,111
2,团结小区社区居委会
0,150102007010
1,111
2,水岸社区
0,150102007000
1,迎新路街道办事处
0,150102008003
1,111
2,呼哈路社区居委会
0,150102008004
1,111
2,铁路小区社区居委会
0,150102008006
1,111
2,麻花板社区居委会
0,150102008007
1,111
2,三合欣社区居委会
0,150102008008
1,111
2,府兴社区居委会
0,150102008010
1,111
2,一家村社区居委会
0,150102008011
1,111
2,南苑社区居委会
0,150102008012
1,111
2,苏雅拉社区
0,150102008013
1,111
2,成吉思汗北苑社区
0,150102008014
1,111
2,东河社区
0,150102008200
1,111
2,毫沁营村委会
0,150102008202
1,111
2,代洲营村委会
0,150102008203
1,111
2,红山口村委会
0,150102008204
1,111
2,上新营村委会
0,150102008205
1,111
2,下新营村委会
0,150102008206
1,111
2,三卜树村委会
0,150102008207
1,112
2,哈拉沁村委会
0,150102008208
1,112
2,哈拉更村委会
0,150102008209
1,112
2,乌兰不浪村委会
0,150102008211
1,111
2,沙梁村委会
0,150102008212
1,111
2,塔利村委会
0,150102008213
1,112
2,生盖营村委会
0,150102008214
1,112
2,讨思浩村委会
0,150102008000
1,成吉思汗大街街道办事处
0,150102101200
1,220
2,古路板村委会
0,150102101201
1,220
2,野马图村委会
0,150102101202
1,121
2,保合少村委会
0,150102101203
1,220
2,庄子村委会
0,150102101204
1,220
2,水泉村委会
0,150102101205
1,220
2,甲兰板村委会
0,150102101206
1,220
2,恼包村委会
0,150102101207
1,220
2,水磨村委会
0,150102101208
1,220
2,奎素村委会
0,150102101209
1,220
2,面铺窑村委会
0,150102101210
1,220
2,大窑村委会
0,150102101000
1,保合少镇
0,150102400498
1,111
2,开发区虚拟居委会
0,150102400000
1,新城区鸿盛高科技园区
0,150102000000
1,新城区
0,150103001011
1,111
2,医学院社区居委会
0,150103001013
1,111
2,通道北街社区居委会
0,150103001014
1,111
2,四合兴社区居委会
0,150103001015
1,111
2,大庆路社区居委会
0,150103001016
1,111
2,战备路社区居委会
0,150103001000
1,新华西路办事处
0,150103002009
1,111
2,公园东路社区居委会
0,150103002014
1,111
2,中山西路社区居委会
0,150103002016
1,111
2,吕祖庙街社区居委会
0,150103002017
1,111
2,贝尔路社区居委会
0,150103002000
1,中山西路办事处
0,150103003020
1,111
2,果园路社区居委会
0,150103003021
1,111
2,电子路社区居委会
0,150103003022
1,111
2,阳光社区居委会
0,150103003023
1,111
2,光明小区社区居委会
0,150103003024
1,111
2,金圆社区居委会
0,150103003025
1,111
2,龙翔苑社区居委会
0,150103003027
1,111
2,沿河社区居委会
0,150103003028
1,111
2,西铁社区居委会
0,150103003029
1,111
2,富丽社区居委会
0,150103003030
1,111
2,巴彦淖尔北路社区居委会
0,150103003000
1,光明路办事处
0,150103004014
1,111
2,部队社区居委会
0,150103004017
1,111
2,赛罕路社区居委会
0,150103004019
1,111
2,工农兵路社区居委会
0,150103004020
1,111
2,综合路社区居委会
0,150103004021
1,111
2,金海路社区居委会
0,150103004022
1,111
2,附件厂社区居委会
0,150103004024
1,111
2,海拉尔西路社区居委会
0,150103004000
1,海拉尔西路办事处
0,150103005010
1,111
2,太平街社区居委会
0,150103005014
1,111
2,县府街社区居委会
0,150103005016
1,111
2,工人南村社区居委会
0,150103005017
